"";"n";"par";"B_100_np";"B_100_p";"B_500_np";"B_500_p";"B_700_np";"B_700_p"
"1";"100";"alpha";-1,6390888646356e-13;7,32924831936543e-14;2,2391510867692e-13;-1,0955858442685e-13;-1,98665211265896e-13;-2,18177222320394e-13
"2";"100";"phi_1";3,21937910900162e-17;-2,99740226671237e-17;-1,19927058193046e-17;-3,04180779956559e-17;3,53746950584406e-17;5,42416400307603e-17
"3";"100";"phi_2";-3,93858123198809e-17;-2,21995307607501e-17;6,22261573865468e-18;1,18807958263134e-17;-3,83832350823811e-17;-1,19908888126281e-17
"4";"250";"alpha";1,24689147895651e-14;-4,77728967496205e-14;-1,89546156548204e-14;-4,24094093176564e-14;3,91862732738803e-14;5,00551980816713e-15
"5";"250";"phi_1";-8,77053150157708e-17;6,21679492824115e-17;5,37401904152481e-17;-9,85920600802409e-17;5,72632800242536e-17;1,07208388991761e-16
"6";"250";"phi_2";1,10998924353171e-17;-1,99802874982849e-17;-8,31924928793894e-18;-1,17163155804838e-17;-1,40547450909666e-18;-3,15940385212892e-18
"7";"400";"alpha";-6,7212901910807e-15;5,93614046806579e-14;6,93900492620969e-14;6,27111695905569e-14;3,94297293228517e-14;1,02275013854783e-13
"8";"400";"phi_1";7,77278089982014e-18;-1,22156719960763e-17;-5,12999338104711e-17;-4,10681679838937e-17;4,4257323868295e-17;-8,39665696688496e-18
"9";"400";"phi_2";-2,27534733675955e-17;-9,43956386309768e-18;2,65659347818692e-17;-8,80130251448494e-18;-2,35153770835566e-17;2,28090193681823e-17
